Author Name,University
Guillaume Lavoue,Image Computing and Information Systems Laboratory
Gabriele D'Angelo,University of Bologna
Jessica Rubart,Hochschule Ostwestfalen Lippe University of Applied Sciences
Francesco Calimeri,University of Calabria
Nicola Leone,University of Calabria
Takashi  Sato,Kyoto University
Yizhou Sun,"University of California, Los Angeles"
Jason Cong,"University of California, Los Angeles"
Anthony Agnesina,NVIDIA
Jahna C. Otterbacher,Open University of Cyprus
K. Nahrstedt,University of Illinois Urbana-Champaign
Martin Potthast,University of Kassel
Edward A. Fox,Virginia Polytechnic Institute and State University
Benno Stein,Bauhaus University Weimar
Charles Gouin-Vallerand,University of Sherbrooke
Antoine  Doucet,La Rochelle University
Ralf Krestel,Leibniz Information Centre for Economics
Styliani Kleanthous,Open University of Cyprus
Bela Gipp,The University of Göttingen
Sara  Montagna,University of Urbino Carlo Bo
Marco Canini,King Abdullah University of Science and Technology
Jose G. Moreno,University of Toulouse
Hamed Alhoori,Northern Illinois University
Kyriaki Kalimeri,UNICEF
Norman Meuschke,The University of Göttingen
Anna  Volkova,University of Passau
Zeyd  Boukhers,University Clinic Cologne
Mohsen Imani,"University of California, Irvine"
Shawn M Jones,Los Alamos National Laboratory
Shangwen  Wang,National University of Defense Technology China
Maria  Kasinidou,Open University of Cyprus
William A Ingram,Virginia Polytechnic Institute and State University
Muntabir Hasan Choudhury,Old Dominion University
Thiago S Gouvêa,German Research Center for Artificial Intelligence (DFKI)
Luiz  Antunes,Carnegie Mellon University
C. Piazza,University of Udine
Alexander Felfernig,Graz University of Technology
Kurt Luther,Virginia Polytechnic Institute and State University
Thomas Thüm,Paderborn University
Stefan Wallner,Siemens AG Osterreich
Rajan Gupta,Autonomous University of Tamaulipas
Elias  Kuiter,Otto von Guericke University Magdeburg
Viet-Man Le,Graz University of Technology
Chico  Sundermann,Ulm University
Tobias  Heß,Ulm University
António Casimiro,University of Lisbon
Sunjin Jung,Korea Advanced Institute of Science and Technology
Xiaotong  Wu,Hangzhou Normal University
G. I. Webb,Monash University
Divesh Srivastava,AT&T Inc.
Ramesh K. Sitaraman,University of Massachusetts Amherst
Jung Ho Ahn,Seoul National University
